Train_No,Journey_Duration_Minutes,Total_Distance,Number_of_Stops
107,105.0,78,4
108,115.0,83,4
128,1325.0,978,22
290,9120.0,2694,14
401,2190.0,1618,12
421,1980.0,1276,5
422,1605.0,1277,5
477,3070.0,2616,14
502,1380.0,1206,9
504,1500.0,1313,3
506,1530.0,1161,3
557,690.0,1301,2
604,1650.0,1429,3
1011,840.0,841,18
1037,560.0,513,10
1038,615.0,503,10
1045,590.0,563,11
1119,1480.0,1329,24
1120,1470.0,1319,24
1122,720.0,569,14
1196,1540.0,1332,26
1301,1060.0,976,17
1302,1285.0,973,17
1442,2340.0,1581,13
1655,1170.0,1050,13
1656,1115.0,1050,13
1705,1285.0,1261,14
1706,1255.0,1262,14
1707,1590.0,1360,17
1708,1595.0,1362,17
2025,500.0,579,7
2026,510.0,569,7
2191,1190.0,1123,16
2192,1150.0,1123,16
2195,580.0,551,10
2196,600.0,549,10
2515,4615.0,3939,58
2651,85.0,62,3
2652,85.0,62,3
2731,2280.0,1854,29
2732,2125.0,1853,29
2821,1905.0,2066,14
2822,1935.0,2073,14
2833,2535.0,2332,29
2834,2440.0,2351,29
2841,1600.0,1656,12
2842,1750.0,1656,12
2845,1895.0,1770,17
2846,1785.0,1791,17
3101,715.0,523,9
3102,700.0,522,9
3301,85.0,58,13
3302,85.0,58,13
3305,20.0,3,2
3306,20.0,3,2
3307,35.0,4,4
3308,30.0,4,4
3501,1180.0,1193,5
3502,1300.0,1193,5
4401,880.0,710,13
4402,855.0,710,13
4409,860.0,653,7
4410,825.0,653,7
4419,1815.0,1916,13
4420,1685.0,1924,13
4735,880.0,691,17
4736,815.0,691,17
4767,100.0,67,10
4768,110.0,67,10
4769,105.0,67,10
4770,95.0,67,10
4771,370.0,232,24
4772,375.0,232,24
4773,185.0,125,16
4774,155.0,125,10
4801,60.0,21,3
4802,60.0,21,3
4831,1275.0,882,22
4832,1140.0,881,22
4851,280.0,197,21
4852,305.0,197,21
4853,75.0,42,6
4854,60.0,42,6
4921,105.0,81,13
4922,115.0,81,13
4991,150.0,99,14
4992,140.0,99,14
5061,185.0,112,5
5062,165.0,112,5
5065,765.0,503,15
5066,720.0,505,15
5105,110.0,64,4
5106,90.0,64,4
5305,210.0,136,11
5306,175.0,136,11
5309,110.0,81,6
5310,115.0,81,6
5521,225.0,81,12
5522,170.0,81,12
5613,125.0,85,11
5614,135.0,85,9
5619,250.0,153,20
5620,245.0,153,20
5631,745.0,380,10
5632,745.0,379,10
5715,130.0,87,2
5716,150.0,87,2
5719,240.0,204,11
5720,300.0,205,11
5863,185.0,89,15
5864,165.0,88,15
5865,725.0,426,53
5866,705.0,425,53
6001,760.0,649,14
6002,750.0,649,15
6006,905.0,699,14
6009,1805.0,1844,27
6010,1995.0,1843,27
6041,1000.0,849,19
6042,975.0,851,20
6043,960.0,849,18
6044,965.0,852,19
6046,1080.0,852,19
6047,970.0,849,19
6048,1020.0,852,20
6049,905.0,855,19
6050,990.0,857,20
6053,635.0,626,14
6054,800.0,627,14
6057,1780.0,1656,19
6058,1665.0,1655,19
6065,805.0,500,13
6066,635.0,501,13
6067,595.0,522,9
6068,715.0,522,9
6081,70.0,45,4
6082,70.0,45,4
6412,3190.0,2462,21
6512,140.0,77,14
6513,35.0,17,6
6541,1055.0,881,14
6542,1005.0,878,14
6547,705.0,632,14
6548,825.0,634,13
6579,1200.0,1089,21
6580,1160.0,1086,21
6581,796.0,607,85
6582,796.0,604,85
6591,90.0,62,9
6592,95.0,61,9
6593,25.0,10,4
6594,25.0,10,4
6595,50.0,33,7
6596,70.0,33,7
6647,130.0,89,8
6648,150.0,89,8
6769,160.0,116,11
6770,185.0,116,11
6851,20.0,10,3
6852,25.0,10,3
6853,23.0,10,3
6854,25.0,10,3
6919,416.0,247,36
6920,411.0,248,36
7005,2640.0,2276,34
7006,2745.0,2297,34
7007,2385.0,2023,27
7008,2470.0,2033,28
7016,785.0,670,18
7044,905.0,735,11
7061,270.0,217,8
7062,750.0,437,14
7075,610.0,554,17
7076,710.0,553,17
7109,1875.0,1589,40
7110,1935.0,1593,40
7113,1870.0,1543,37
7133,1900.0,1508,39
7134,1935.0,1511,39
7141,1855.0,1560,39
7142,1815.0,1563,39
7146,810.0,763,16
7149,2955.0,2563,37
7211,1840.0,1433,36
7212,1680.0,1436,36
7213,1590.0,1221,29
7214,1445.0,1226,30
7217,1840.0,1360,37
7218,1695.0,1363,37
7410,1455.0,1147,29
7417,1705.0,1330,33
7418,1800.0,1331,33
7425,675.0,537,15
7426,680.0,537,15
7429,750.0,742,11
7430,825.0,744,11
7431,660.0,597,13
7432,660.0,597,14
7435,720.0,555,14
7436,725.0,554,15
7438,1845.0,1533,28
7439,1810.0,1533,28
7487,735.0,735,11
7505,2445.0,1973,49
7509,2300.0,1886,47
7517,555.0,350,9
7525,555.0,322,33
7526,600.0,322,33
7603,720.0,624,14
7604,930.0,624,14
7607,1155.0,1014,19
7608,1185.0,1016,19
7613,2100.0,1636,38
7614,2100.0,1641,39
7644,695.0,597,11
7645,555.0,587,10
7757,315.0,314,6
7758,320.0,314,6
7941,660.0,587,12
7942,630.0,597,13
8001,35.0,39,2
8002,45.0,39,2
8014,40.0,12,4
8017,50.0,39,6
8018,55.0,39,6
8035,175.0,120,19
8036,180.0,120,19
8051,29.0,39,3
8052,45.0,39,5
8061,2055.0,1847,24
8062,2075.0,1838,24
8063,180.0,115,17
8064,1930.0,2039,16
8065,160.0,115,17
8082,30.0,30,6
8087,28.0,30,6
8101,80.0,40,5
8102,55.0,40,5
8301,1870.0,1567,15
8302,1805.0,1567,15
8403,560.0,495,9
8404,530.0,497,9
8501,780.0,700,13
8502,740.0,698,13
8511,720.0,471,12
8512,705.0,471,12
8567,1725.0,1571,29
8568,1845.0,1578,29
8573,870.0,760,15
8574,920.0,759,15
8581,20.0,11,2
8582,15.0,11,2
8617,1430.0,1365,15
8618,1420.0,1356,15
8627,560.0,484,13
8628,570.0,481,14
8872,165.0,133,17
9003,835.0,1355,5
9004,835.0,1358,5
9005,955.0,1373,4
9006,965.0,1376,4
9011,1330.0,1209,20
9012,1315.0,1211,20
9433,805.0,780,14
9434,820.0,780,14
9621,1335.0,1281,12
9622,1270.0,1281,12
9721,435.0,429,12
9722,420.0,429,12
9761,165.0,125,13
9809,430.0,447,11
9810,480.0,450,11
10103,695.0,590,20
10104,745.0,594,20
10111,700.0,590,20
10112,710.0,594,20
10215,805.0,726,13
10216,805.0,727,13
11001,435.0,348,12
11002,445.0,348,12
11003,635.0,502,21
11004,715.0,504,21
11005,2025.0,1636,39
11006,1970.0,1639,38
11007,245.0,191,12
11008,242.0,191,11
11009,250.0,191,12
11010,230.0,191,11
11011,1000.0,723,16
11012,1035.0,723,16
11013,1960.0,1515,34
11014,1775.0,1515,34
11015,1940.0,1678,47
11016,2000.0,1677,46
11017,1830.0,1631,30
11018,2025.0,1634,30
11019,2225.0,1941,39
11020,2190.0,1941,40
11021,2295.0,1843,40
11022,2320.0,1845,39
11023,735.0,517,28
11024,780.0,517,31
11025,700.0,545,19
11026,605.0,545,19
11027,1665.0,1281,52
11028,1670.0,1283,52
11029,705.0,517,35
11030,730.0,517,34
11031,130.0,108,5
11032,170.0,108,5
11033,2310.0,1955,30
11034,2360.0,1953,30
11035,1450.0,1210,27
11036,1405.0,1213,26
11037,1970.0,1777,17
11038,2195.0,1777,17
11039,1725.0,1352,62
11040,1705.0,1353,60
11041,1590.0,1281,36
11042,1515.0,1283,34
11043,2035.0,1696,27
11044,2145.0,1700,26
11045,3615.0,2894,39
11046,3705.0,2892,39
11047,375.0,278,12
11048,345.0,279,12
11049,1200.0,949,18
11050,1135.0,949,18
11051,405.0,314,9
11052,455.0,314,9
11053,2010.0,1552,17
11054,1855.0,1551,17
11055,2005.0,1732,23
11056,2035.0,1732,23
11057,2460.0,2026,90
11058,2615.0,2029,91
11059,2050.0,1772,24
11060,2100.0,1770,24
11061,2215.0,1885,41
11062,2315.0,1883,39
11063,380.0,352,14
11064,385.0,352,14
11067,1652.0,1510,20
11068,1795.0,1509,20
11071,1845.0,1645,43
11072,1860.0,1647,41
11073,1415.0,1265,18
11074,1485.0,1267,17
11075,805.0,651,13
11076,935.0,651,13
11077,2445.0,2155,67
11078,2485.0,2157,65
11079,2020.0,1745,25
11080,2070.0,1745,24
11081,2055.0,1731,20
11082,2035.0,1731,19
11083,1650.0,1153,29
11084,1770.0,1153,28
11085,717.0,574,11
11086,670.0,578,11
11087,1215.0,1053,26
11088,1255.0,1053,25
11089,1390.0,1074,26
11090,1280.0,1072,26
11091,1185.0,981,24
11092,1170.0,981,24
11093,1710.0,1516,27
11094,1615.0,1515,26
11095,745.0,623,17
11096,715.0,622,16
11097,1960.0,1278,33
11098,1775.0,1279,32
11101,1605.0,1373,23
11102,1745.0,1373,23
11103,1435.0,1321,21
11104,1530.0,1321,21
11107,850.0,629,31
11108,920.0,629,37
11109,355.0,291,11
11110,355.0,291,11
11111,1195.0,939,12
11112,1095.0,941,12
11123,1570.0,1051,49
11124,1510.0,1054,49
11125,702.0,561,11
11126,745.0,561,11
11201,1295.0,1015,26
11202,1290.0,1015,26
11203,1570.0,1340,28
11204,1605.0,1340,28
11205,995.0,699,20
11206,870.0,699,20
11265,540.0,432,14
11266,520.0,434,14
11272,1075.0,737,47
11301,1480.0,1154,35
11302,1410.0,1154,34
11303,1410.0,989,38
11304,1390.0,987,38
11307,275.0,221,7
11308,300.0,223,7
11309,365.0,267,14
11310,330.0,267,14
11401,1420.0,1053,34
11402,1415.0,1052,34
11403,1380.0,1026,22
11404,1425.0,1026,22
11405,1020.0,811,18
11406,1125.0,812,18
11407,1710.0,1478,17
11408,1715.0,1478,17
11423,485.0,357,14
11424,495.0,356,14
11447,1705.0,1156,45
11448,1515.0,1155,46
11449,1970.0,1561,34
11450,2010.0,1564,31
11463,1780.0,1416,50
11464,1785.0,1417,50
11465,1950.0,1572,49
11466,1905.0,1575,50
11651,415.0,344,14
11652,420.0,345,14
11701,890.0,751,16
11702,925.0,751,16
11703,1015.0,823,20
11704,965.0,821,20
11801,305.0,215,6
11802,295.0,215,6
11901,430.0,292,13
11902,400.0,294,13
12001,510.0,688,10
12002,505.0,690,10
12003,400.0,504,7
12004,390.0,504,7
12005,245.0,268,5
12006,245.0,268,5
12007,420.0,498,4
12008,430.0,499,4
12009,380.0,490,9
12010,400.0,490,9
12011,245.0,268,6
12012,250.0,268,6
12013,360.0,447,8
12014,360.0,447,8
12015,400.0,442,10
12016,415.0,442,10
12017,355.0,314,8
12018,345.0,314,8
12019,430.0,436,10
12020,465.0,434,10
12021,405.0,402,10
12022,425.0,401,11
12023,520.0,530,14
12024,470.0,531,14
12025,510.0,598,8
12026,505.0,598,8
12027,300.0,360,4
12028,300.0,361,4
12029,385.0,447,8
12030,375.0,447,8
12031,385.0,447,8
12032,375.0,447,8
12033,320.0,430,5
12034,295.0,430,4
12035,210.0,240,4
12036,220.0,240,4
12037,325.0,328,7
12038,330.0,328,7
12039,330.0,283,8
12040,340.0,283,8
12041,495.0,560,7
12042,485.0,560,7
12043,425.0,397,8
12044,430.0,397,8
12045,210.0,243,4
12046,205.0,243,4
12047,390.0,385,10
12048,440.0,385,10
12049,100.0,181,2
12050,100.0,183,2
12051,520.0,581,9
12052,515.0,585,9
12053,440.0,406,11
12054,440.0,406,11
12055,350.0,304,9
12056,370.0,304,10
12057,455.0,386,14
12058,420.0,386,14
12059,395.0,447,10
12060,405.0,450,10
12061,315.0,330,10
12062,330.0,330,10
12065,410.0,389,10
12066,415.0,389,10
12067,410.0,376,11
12068,410.0,375,11
12069,420.0,419,15
12070,420.0,411,15
12071,450.0,422,7
12072,465.0,422,7
12073,415.0,442,9
12074,400.0,441,9
12075,445.0,399,12
12076,420.0,398,12
12077,430.0,453,10
12078,435.0,453,10
12079,445.0,470,11
12080,445.0,468,11
12081,550.0,500,15
12082,550.0,499,15
12083,385.0,361,10
12084,390.0,361,10
12085,545.0,506,10
12086,535.0,505,10
12087,360.0,332,8
12088,380.0,332,8
12101,1860.0,1956,16
12102,1860.0,1963,17
12103,1495.0,1478,13
12104,1535.0,1478,13
12105,970.0,971,26
12106,970.0,972,27
12107,1365.0,1408,11
12108,1455.0,1408,11
12109,275.0,260,10
12110,283.0,260,10
12111,730.0,676,14
12112,680.0,676,14
12113,945.0,895,9
12114,910.0,895,9
12115,485.0,456,14
12116,485.0,457,15
12117,265.0,244,10
12118,265.0,244,10
12119,165.0,180,5
12120,190.0,180,5
12121,835.0,883,7
12122,860.0,886,7
12123,195.0,191,5
12124,190.0,191,4
12125,205.0,190,8
12126,205.0,190,7
12127,197.0,191,6
12128,190.0,191,5
12129,2025.0,2026,30
12130,1980.0,2033,30
12131,360.0,330,8
12132,365.0,330,8
12133,878.0,903,14
12134,870.0,909,14
12135,945.0,895,18
12136,910.0,895,18
12137,2055.0,1910,56
12138,2035.0,1913,54
12139,910.0,841,33
12140,900.0,841,33
12141,1705.0,1693,14
12142,1690.0,1692,13
12143,1640.0,1540,14
12144,1695.0,1541,14
12145,2095.0,1888,27
12146,2045.0,1895,27
12147,1925.0,1897,22
12148,2070.0,1900,22
12149,1835.0,1757,19
12150,1835.0,1756,19
12151,2150.0,2089,24
12152,2055.0,2095,23
12153,775.0,820,10
12154,790.0,820,10
12155,655.0,681,10
12156,610.0,683,10
12157,240.0,265,4
12158,240.0,265,4
12159,790.0,725,20
12160,780.0,725,20
12161,1235.0,1320,21
12162,1405.0,1320,21
12163,1395.0,1278,24
12164,1390.0,1281,22
12165,1542.0,1488,16
12166,1510.0,1487,16
12167,1630.0,1500,13
12168,1560.0,1500,13
12169,240.0,265,5
12170,245.0,265,5
12171,1760.0,1756,12
12172,1740.0,1759,12
12173,1600.0,1581,13
12174,1690.0,1581,13
12175,1410.0,1291,31
12176,1410.0,1292,31
12177,1595.0,1451,34
12178,1580.0,1453,34
12179,360.0,323,14
12180,355.0,323,14
12181,1075.0,1024,22
12182,1035.0,1024,22
12183,820.0,754,11
12184,820.0,754,11
12185,600.0,555,15
12186,600.0,557,15
12187,1005.0,996,15
12188,990.0,996,15
12189,1050.0,937,29
12190,1050.0,938,28
12191,1030.0,1021,24
12192,1100.0,1019,24
12193,1825.0,1747,20
12194,1845.0,1734,20
12195,405.0,375,14
12196,400.0,375,14
12197,525.0,484,11
12198,520.0,484,11
12201,1650.0,1513,25
12202,1620.0,1517,25
12203,1810.0,1711,23
12204,1800.0,1714,23
12205,350.0,304,7
12206,345.0,304,7
12207,915.0,768,16
12208,925.0,768,16
12209,515.0,415,12
12210,565.0,415,12
12211,1280.0,1057,14
12212,1270.0,1059,14
12213,1880.0,2350,7
12214,1975.0,2351,6
12215,1370.0,1431,18
12216,1410.0,1429,18
12217,3265.0,3086,22
12218,3195.0,3084,22
12219,720.0,774,4
12220,720.0,774,4
12221,1705.0,2026,8
12222,1645.0,2033,8
12223,1260.0,1301,6
12224,1245.0,1306,6
12225,880.0,795,15
12226,855.0,796,15
12227,710.0,831,5
12228,760.0,831,5
12229,535.0,492,9
12230,520.0,492,9
12231,700.0,644,16
12232,700.0,644,16
12235,2620.0,2446,26
12236,2690.0,2448,26
12237,1355.0,1253,13
12238,1360.0,1253,13
12239,920.0,1157,5
12240,990.0,1158,5
12241,255.0,247,6
12242,240.0,247,6
12243,420.0,491,6
12244,410.0,493,6
12245,1745.0,1957,6
12246,1755.0,1959,6
12247,1025.0,1355,7
12248,1065.0,1358,7
12249,1000.0,1425,7
12250,1010.0,1426,7
12251,1730.0,1611,25
12252,1770.0,1605,26
12253,2580.0,2478,29
12254,2615.0,2477,29
12257,960.0,798,19
12258,990.0,797,19
12259,1020.0,1448,5
12260,1015.0,1449,5
12261,1585.0,1972,7
12262,1570.0,1979,7
12263,1185.0,1498,7
12264,1215.0,1501,7
12265,550.0,577,3
12266,540.0,577,3
12267,390.0,490,2
12268,380.0,490,2
12269,1675.0,2156,7
12270,1705.0,2155,7
12273,1310.0,1516,6
12274,1305.0,1517,6
12275,465.0,629,2
12276,455.0,629,2
12277,450.0,504,8
12278,475.0,503,8
12279,405.0,385,11
12280,430.0,388,11
12281,1345.0,1714,6
12282,1310.0,1717,6
12283,2650.0,2636,11
12284,2525.0,2634,11
12285,1285.0,1651,6
12286,1335.0,1652,6
12289,665.0,841,4
12290,685.0,841,4
12291,390.0,364,7
12292,390.0,363,7
12293,1150.0,1353,5
12294,1165.0,1352,5
12295,2885.0,2703,36
12296,2890.0,2697,37
12297,520.0,623,4
12298,525.0,622,4
12301,1025.0,1438,8
12302,1015.0,1439,8
12303,1320.0,1516,25
12304,1400.0,1517,25
12305,1195.0,1516,9
12306,1160.0,1517,9
12307,1870.0,1803,28
12308,1890.0,1805,28
12309,760.0,987,6
12310,735.0,987,6
12311,1970.0,1699,39
12312,1920.0,1700,40
12313,1055.0,1448,8
12314,1065.0,1449,8
12315,2255.0,2119,23
12316,2330.0,2120,23
12317,2020.0,1884,23
12318,2000.0,1885,23
12319,1370.0,1416,12
12320,1460.0,1417,11
12321,2245.0,2165,48
12322,2295.0,2167,49
12323,1335.0,1425,9
12324,1375.0,1426,9
12325,1940.0,1792,18
12326,1940.0,1793,18
12327,1750.0,1577,20
12328,1745.0,1577,20
12329,1360.0,1435,8
12330,1335.0,1436,8
12331,2200.0,2010,32
12332,2205.0,2011,32
12333,960.0,878,31
12334,950.0,879,31
12335,2100.0,1917,39
12336,2065.0,1918,38
12337,135.0,146,4
12338,150.0,146,4
12339,260.0,258,13
12340,270.0,259,13
12341,195.0,199,7
12342,195.0,200,7
12343,595.0,571,6
12344,600.0,571,6
12345,1080.0,1023,13
12346,1000.0,1023,13
12347,220.0,206,9
12348,220.0,206,9
12349,1170.0,1206,13
12350,1215.0,1206,13
12351,580.0,528,23
12352,565.0,529,23
12353,1385.0,1299,18
12354,1415.0,1300,18
12355,1650.0,1506,19
12356,1615.0,1506,19
12357,1750.0,1807,15
12358,1780.0,1807,15
12359,565.0,534,13
12360,550.0,534,13
12361,2070.0,2043,21
12362,2170.0,2044,21
12363,675.0,621,11
12364,670.0,620,11
12365,475.0,410,12
12366,470.0,407,12
12367,1245.0,1193,21
12368,1305.0,1193,21
12369,1660.0,1525,20
12370,1645.0,1526,20
12371,2370.0,2245,29
12372,2360.0,2246,29
12373,220.0,217,7
12374,220.0,216,7
12375,1875.0,1729,27
12376,1845.0,1727,27
12377,775.0,718,10
12378,780.0,718,10
12379,1835.0,1889,15
12380,1830.0,1890,15
12381,1310.0,1438,22
12382,1400.0,1439,22
12383,235.0,221,9
12384,235.0,222,9
12389,2340.0,2348,17
12390,2320.0,2353,17
12391,1270.0,1092,33
12392,1260.0,1092,33
12393,855.0,987,5
12394,850.0,987,5
12395,1225.0,1287,15
12396,1390.0,1287,15
12397,855.0,981,15
12398,905.0,981,15
12401,1180.0,1049,28
12402,1125.0,1049,28
12405,1550.0,1461,29
12406,1470.0,1464,29
12407,2000.0,1821,19
12408,1985.0,1824,19
12409,1680.0,1613,35
12410,1665.0,1608,35
12411,270.0,247,9
12412,265.0,247,9
12413,1095.0,1016,21
12414,1090.0,1017,22
12415,855.0,815,23
